# z log_nh fraction_observed
1.000000000000000021e-03 2.000000000000000000e+01 1.000088261006409462e+00
1.000000000000000021e-03 2.005000000000000071e+01 9.952015387959557424e-01
1.000000000000000021e-03 2.010000000000000142e+01 9.903148175342256776e-01
1.000000000000000021e-03 2.014999999999999858e+01 9.854023660374214844e-01
1.000000000000000021e-03 2.019999999999999929e+01 9.788681279266548962e-01
1.000000000000000021e-03 2.025000000000000000e+01 9.723338898158851995e-01
1.000000000000000021e-03 2.030000000000000071e+01 9.657996517051922192e-01
1.000000000000000021e-03 2.035000000000000142e+01 9.568066468541720493e-01
1.000000000000000021e-03 2.039999999999999858e+01 9.477619267798793601e-01
1.000000000000000021e-03 2.044999999999999929e+01 9.387172067056790414e-01
1.000000000000000021e-03 2.050000000000000000e+01 9.267336124104074147e-01
1.000000000000000021e-03 2.055000000000000071e+01 9.147353023613726819e-01
1.000000000000000021e-03 2.060000000000000142e+01 9.027284101351524814e-01
1.000000000000000021e-03 2.065000000000000213e+01 8.870604319896960854e-01
1.000000000000000021e-03 2.069999999999999929e+01 8.713924538445061430e-01
1.000000000000000021e-03 2.075000000000000000e+01 8.557022837444968610e-01
1.000000000000000021e-03 2.080000000000000071e+01 8.358260825447911824e-01
1.000000000000000021e-03 2.085000000000000142e+01 8.159498813451205868e-01
1.000000000000000021e-03 2.090000000000000213e+01 7.960574829107230910e-01
1.000000000000000021e-03 2.094999999999999929e+01 7.716690496418447953e-01
1.000000000000000021e-03 2.100000000000000000e+01 7.472806163731626761e-01
1.000000000000000021e-03 2.105000000000000071e+01 7.228321040938103792e-01
1.000000000000000021e-03 2.110000000000000142e+01 6.946021246140755556e-01
1.000000000000000021e-03 2.115000000000000213e+01 6.663721451336240831e-01
1.000000000000000021e-03 2.120000000000000284e+01 6.380757316213619967e-01
1.000000000000000021e-03 2.125000000000000000e+01 6.073722107269370341e-01
1.000000000000000021e-03 2.130000000000000071e+01 5.766686898328728939e-01
1.000000000000000021e-03 2.135000000000000142e+01 5.459651689387489126e-01
1.000000000000000021e-03 2.140000000000000213e+01 5.142160494430333406e-01
1.000000000000000021e-03 2.145000000000000284e+01 4.824617172565929257e-01
1.000000000000000021e-03 2.150000000000000000e+01 4.507162415979066306e-01
1.000000000000000021e-03 2.155000000000000071e+01 4.203771543097693519e-01
1.000000000000000021e-03 2.160000000000000142e+01 3.900380670224571356e-01
1.000000000000000021e-03 2.165000000000000213e+01 3.596989797341493822e-01
1.000000000000000021e-03 2.170000000000000284e+01 3.318702678883337365e-01
1.000000000000000021e-03 2.175000000000000000e+01 3.040570914103213340e-01
1.000000000000000021e-03 2.180000000000000071e+01 2.762439149322140630e-01
1.000000000000000021e-03 2.185000000000000142e+01 2.518822712104967221e-01
1.000000000000000021e-03 2.190000000000000213e+01 2.275226545282162116e-01
1.000000000000000021e-03 2.195000000000000284e+01 2.031726809734602512e-01
1.000000000000000021e-03 2.200000000000000000e+01 1.827551744528630451e-01
1.000000000000000021e-03 2.205000000000000071e+01 1.623376679325256033e-01
1.000000000000000021e-03 2.210000000000000142e+01 1.419201614121545774e-01
1.000000000000000021e-03 2.215000000000000213e+01 1.254563118557022183e-01
1.000000000000000021e-03 2.220000000000000284e+01 1.090219809631470527e-01
1.000000000000000021e-03 2.225000000000000000e+01 9.258765007058319951e-02
1.000000000000000021e-03 2.230000000000000071e+01 8.031318124896291710e-02
1.000000000000000021e-03 2.235000000000000142e+01 6.807395087973538983e-02
1.000000000000000021e-03 2.240000000000000213e+01 5.586270476374938232e-02
1.000000000000000021e-03 2.245000000000000284e+01 4.791185226871177982e-02
1.000000000000000021e-03 2.250000000000000355e+01 3.996099977340896586e-02
1.000000000000000021e-03 2.255000000000000426e+01 3.201014727820344907e-02
1.000000000000000021e-03 2.260000000000000142e+01 2.756350603076019451e-02
