# logMs_low logMs_up counts dN_dVdlogM
6.000000000000000000e+00 6.099999999999999645e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.099999999999999645e+00 6.199999999999999289e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.199999999999999289e+00 6.299999999999998934e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.299999999999998934e+00 6.399999999999998579e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.399999999999998579e+00 6.499999999999998224e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.499999999999998224e+00 6.599999999999997868e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.599999999999997868e+00 6.699999999999997513e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.699999999999997513e+00 6.799999999999997158e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.799999999999997158e+00 6.899999999999996803e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.899999999999996803e+00 6.999999999999996447e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999996447e+00 7.099999999999996092e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.099999999999996092e+00 7.199999999999995737e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.199999999999995737e+00 7.299999999999995381e+00 1.128120000000000000e+06 2.382714967673191589e-02
7.299999999999995381e+00 7.399999999999995026e+00 1.031982000000000000e+06 2.179660814247877387e-02
7.399999999999995026e+00 7.499999999999994671e+00 9.405070000000000000e+05 1.986455435681851525e-02
7.499999999999994671e+00 7.599999999999994316e+00 8.622390000000000000e+05 1.821144710679329162e-02
7.599999999999994316e+00 7.699999999999993960e+00 7.881480000000000000e+05 1.664656274458116772e-02
7.699999999999993960e+00 7.799999999999993605e+00 7.113760000000000000e+05 1.502505267917849524e-02
7.799999999999993605e+00 7.899999999999993250e+00 6.591060000000000000e+05 1.392105211753365442e-02
7.899999999999993250e+00 7.999999999999992895e+00 5.979940000000000000e+05 1.263029867725740628e-02
7.999999999999992895e+00 8.099999999999992539e+00 5.452970000000000000e+05 1.151727940048300272e-02
8.099999999999992539e+00 8.199999999999992184e+00 4.956130000000000000e+05 1.046789803632072399e-02
8.199999999999992184e+00 8.299999999999991829e+00 4.547090000000000000e+05 9.603960041801484077e-03
8.299999999999991829e+00 8.399999999999991473e+00 4.129790000000000000e+05 8.722576008179156251e-03
8.399999999999991473e+00 8.499999999999991118e+00 3.751830000000000000e+05 7.924282431980029379e-03
8.499999999999991118e+00 8.599999999999990763e+00 3.434690000000000000e+05 7.254447463317230740e-03
8.599999999999990763e+00 8.699999999999990408e+00 3.128500000000000000e+05 6.607740113078023475e-03
8.699999999999990408e+00 8.799999999999990052e+00 2.852890000000000000e+05 6.025621125523145799e-03
8.799999999999990052e+00 8.899999999999989697e+00 2.599350000000000000e+05 5.490116433731615474e-03
8.899999999999989697e+00 8.999999999999989342e+00 2.373210000000000000e+05 5.012483590780852059e-03
8.999999999999989342e+00 9.099999999999988987e+00 2.168010000000000000e+05 4.579078357856571947e-03
9.099999999999988987e+00 9.199999999999988631e+00 1.970510000000000000e+05 4.161936381723309840e-03
9.199999999999988631e+00 9.299999999999988276e+00 1.795420000000000000e+05 3.792126819185726028e-03
9.299999999999988276e+00 9.399999999999987921e+00 1.642850000000000000e+05 3.469882002483692159e-03
9.399999999999987921e+00 9.499999999999987566e+00 1.504040000000000000e+05 3.176699836878335136e-03
9.499999999999987566e+00 9.599999999999987210e+00 1.372300000000000000e+05 2.898450297962912488e-03
9.599999999999987210e+00 9.699999999999986855e+00 1.259930000000000000e+05 2.661112354377622932e-03
9.699999999999986855e+00 9.799999999999986500e+00 1.157130000000000000e+05 2.443987315661170709e-03
9.799999999999986500e+00 9.899999999999986144e+00 1.059330000000000000e+05 2.237422833302522666e-03
9.899999999999986144e+00 9.999999999999985789e+00 9.787800000000000000e+04 2.067292270378298397e-03
9.999999999999985789e+00 1.009999999999998543e+01 9.007600000000000000e+04 1.902505348971123564e-03
1.009999999999998543e+01 1.019999999999998508e+01 8.314700000000000000e+04 1.756157158964674484e-03
1.019999999999998508e+01 1.029999999999998472e+01 7.812100000000000000e+04 1.650002446456027552e-03
1.029999999999998472e+01 1.039999999999998437e+01 7.373100000000000000e+04 1.557280761634507928e-03
1.039999999999998437e+01 1.049999999999998401e+01 6.927400000000000000e+04 1.463143962261041981e-03
