# log_stellar_mass duty_cycle
7.249999999999995559e+00 2.012862010011982894e-01
7.349999999999995204e+00 1.981694717852393872e-01
7.449999999999994849e+00 1.958307724696128349e-01
7.549999999999994493e+00 1.923722934424107467e-01
7.649999999999994138e+00 1.895313173173748811e-01
7.749999999999993783e+00 1.891024977101925797e-01
7.849999999999993427e+00 1.837956715259929930e-01
7.949999999999993072e+00 1.824192388004388932e-01
8.049999999999993605e+00 1.801315239246729927e-01
8.149999999999991473e+00 1.784466549866958740e-01
8.249999999999992895e+00 1.751103250429091041e-01
8.349999999999990763e+00 1.735676198839766204e-01
8.449999999999992184e+00 1.719693458457638713e-01
8.549999999999990052e+00 1.690582748503691168e-01
8.649999999999991473e+00 1.670061375881664034e-01
8.749999999999989342e+00 1.647483419761378853e-01
8.849999999999990763e+00 1.626088078999338438e-01
8.949999999999988631e+00 1.601053776632394843e-01
9.049999999999990052e+00 1.574711027314962264e-01
9.149999999999987921e+00 1.555734058721300606e-01
9.249999999999989342e+00 1.532012730968453085e-01
9.349999999999987210e+00 1.500791745057885040e-01
9.449999999999988631e+00 1.467623813420880496e-01
9.549999999999986500e+00 1.437834242455735823e-01
9.649999999999987921e+00 1.397171133592038095e-01
9.749999999999985789e+00 1.353904256762971103e-01
9.849999999999987210e+00 1.312121239934654904e-01
9.949999999999985079e+00 1.255076923513906706e-01
1.004999999999998650e+01 1.199433446761763861e-01
1.014999999999998437e+01 1.135795278311179657e-01
1.024999999999998579e+01 1.048532867094216087e-01
1.034999999999998366e+01 9.542815849172550657e-02
1.044999999999998508e+01 8.618151343613209003e-02
1.054999999999998295e+01 7.608552051211769918e-02
1.064999999999998437e+01 6.449193845663955815e-02
1.074999999999998224e+01 5.339793259775046930e-02
1.084999999999998366e+01 4.334766861453101527e-02
1.094999999999998153e+01 3.615926245906100206e-02
1.104999999999998295e+01 3.161956021484145507e-02
1.114999999999998082e+01 2.967420235181374155e-02
1.124999999999998224e+01 2.971900591823194854e-02
1.134999999999998010e+01 3.182600196450035418e-02
1.144999999999998153e+01 3.557945409821364202e-02
1.154999999999997939e+01 3.612632008920498017e-02
1.164999999999998082e+01 3.753132244506607318e-02
1.174999999999997868e+01 3.564537472500128173e-02
1.184999999999998010e+01 3.003258215022411304e-02
1.194999999999997797e+01 1.776264708668469014e-02
