# log_stellar_mass duty_cycle
9.749999999999985789e+00 1.470114403105661494e-01
9.849999999999987210e+00 1.409560831662327596e-01
9.949999999999985079e+00 1.336670286943021091e-01
1.004999999999998650e+01 1.270959037852744944e-01
1.014999999999998437e+01 1.186079626986843022e-01
1.024999999999998579e+01 1.094687617544270880e-01
1.034999999999998366e+01 9.945199048729432001e-02
1.044999999999998508e+01 8.887460370842625856e-02
1.054999999999998295e+01 7.732397699786887346e-02
1.064999999999998437e+01 6.572293000651686923e-02
1.074999999999998224e+01 5.560138167850353641e-02
1.084999999999998366e+01 4.788023275131542827e-02
1.094999999999998153e+01 4.301152443492888000e-02
1.104999999999998295e+01 4.020848589133510509e-02
1.114999999999998082e+01 3.834459898317475052e-02
1.124999999999998224e+01 3.711808535441584594e-02
1.134999999999998010e+01 3.730364674180720180e-02
1.144999999999998153e+01 3.811383525908888098e-02
1.154999999999997939e+01 3.895905271615876519e-02
1.164999999999998082e+01 3.613038990026656849e-02
1.174999999999997868e+01 3.184087099672546634e-02
1.184999999999998010e+01 2.316690426335456937e-02
1.194999999999997797e+01 1.732501416202565300e-02
1.204999999999997939e+01 1.073700846797731936e-02
