# table 2 from Dawson et al. 2016
# Expected Redshift Distribution for the ELG Samples
# Galaxies contaminating QSO :  -3 -2 0. 0. 0. 6.6 0.4 0 1.5
# stars : -1 0
# poor spectra : -2 -1
# zmin zmax SDSS_uri_gri SDSS_Fisher DECam190 DECam240
-2. -1. 64.7 19.8 17.1 24.1
-1.  0. 4.0 1.5 0.0 0.0
0.0 0.1 2.1 2.9 0.6 0.6
0.1 0.2 2.7 2.0 1.7 2.4
0.2 0.3 3.6 2.5 1.6 2.0
0.3 0.4 4.1 1.7 1.0 1.2
0.4 0.5 4.8 2.8 0.6 0.7
0.5 0.6 9.4 7.2 1.2 1.7
0.6 0.7 27.6 25.4 3.3 3.7
0.7 0.8 42.8 46.2 40.7 44.1
0.8 0.9 25.9 40.4 65.3 74.1
0.9 1.0 10.8 17.0 30.9 43.7
1.0 1.1 2.5 6.5 11.1 16.9
1.1 1.2 0.4 2.6 5.1 7.7
1.2 1.5 2.2 2.9 9.5 16.9

