# table 1 from Dawson et al. 2016
# Expected Redshift Distribution for the LRG, Quasar, and Lyα Quasar Samples
# CMASS LRG LRG QSO_CORE QSO_CORE Lyα Quasar Quasar
# Known (zconf > 0)a (zconf > 1)a New Knownb Reobservation PTFc
# Galaxies contaminating QSO :  -3 -2 0. 0. 0. 6.6 0.4 0 1.5
# stars : -1 0
# poor spectra : -2 -1
# zmin zmax CMASS LRG1 LRG2 QSO1 QSO2 LyaQSO PTFQSO
-3 -2 0. 0. 0. 6.6 0.4 0 1.5
-2 -1 0. 4.0 6.7 3.2 0.9 0 0.7
-1 0 0. 5.3 5.3 2.8 0.3 0 10.7
0.0 0.5 27.3 0.6 0.6 1.0 0.4 0 0.2
0.5 0.6 45.7 6.2 5.9 1.1 0.4 0 0.1
0.6 0.7 19.4 15.2 14.8 1.4 0.7 0 0.2
0.7 0.8 3.5 15.3 14.7 1.4 1.3 0 0.2
0.8 0.9 0.2 9.4 8.7 2.2 1.5 0 0.2
0.9 1.0 0.03 3.2 2.7 3.6 1.0 0 0.3
1.0 1.2 0 0.6 0.5 8.4 1.8 0 0.5
1.2 1.4 0 0 0 10.3 1.8 0 0.4
1.4 1.6 0 0 0 10.3 2.1 0 0.6
1.6 1.8 0 0 0 9.9 2.0 0 0.4
1.8 2.0 0 0 0 9.2 1.9 0 0.3
2.0 2.1 0 0 0 4.0 1.0 0 0.2
2.1 2.2 0 0 0 2.2 1.6 0.5 0.2
2.2 2.4 0 0 0 1.8 4.5 2.9 0.5
2.4 2.6 0 0 0 1.1 3.1 1.9 0.5
2.6 2.8 0 0 0 0.7 1.4 1.0 0.6
2.8 3.0 0 0 0 0.3 0.8 0.7 0.5
3.0 3.5 0 0 0 0.4 1.2 0.9 0.5
3.5 4.5 0 0 0 0.1 0.1 0.3 0.2
