#  zmin zmax zmean dN_dV_agn 
0.000000000 0.050000000 0.025000000 0.000026324
0.050000000 0.100000000 0.075000000 0.000020904
0.100000000 0.150000000 0.125000000 0.000028946
0.150000000 0.200000000 0.175000000 0.000024083
0.200000000 0.250000000 0.225000000 0.000022589
0.250000000 0.300000000 0.275000000 0.000016383
0.300000000 0.350000000 0.325000000 0.000013298
0.350000000 0.400000000 0.375000000 0.000011203
0.400000000 0.450000000 0.425000000 0.000010814
0.450000000 0.500000000 0.475000000 0.000008733
0.500000000 0.550000000 0.525000000 0.000009092
0.550000000 0.600000000 0.575000000 0.000007145
0.600000000 0.650000000 0.625000000 0.000007457
0.650000000 0.700000000 0.675000000 0.000006494
0.700000000 0.750000000 0.725000000 0.000005716
0.750000000 0.800000000 0.775000000 0.000005280
0.800000000 0.850000000 0.825000000 0.000005292
0.850000000 0.900000000 0.875000000 0.000004699
0.900000000 0.950000000 0.925000000 0.000004587
0.950000000 1.000000000 0.975000000 0.000003832
1.000000000 1.050000000 1.025000000 0.000003937
1.050000000 1.100000000 1.075000000 0.000003197
1.100000000 1.150000000 1.125000000 0.000003258
1.150000000 1.200000000 1.175000000 0.000003253
1.200000000 1.250000000 1.225000000 0.000002978
1.250000000 1.300000000 1.275000000 0.000002612
1.300000000 1.350000000 1.325000000 0.000002263
1.350000000 1.400000000 1.375000000 0.000002456
1.400000000 1.450000000 1.425000000 0.000002128
1.450000000 1.500000000 1.475000000 0.000002161
1.500000000 1.550000000 1.525000000 0.000002031
1.550000000 1.600000000 1.575000000 0.000001860
1.600000000 1.650000000 1.625000000 0.000001800
1.650000000 1.700000000 1.675000000 0.000001667
1.700000000 1.750000000 1.725000000 0.000001426
1.750000000 1.800000000 1.775000000 0.000001590
1.800000000 1.850000000 1.825000000 0.000001257
1.850000000 1.900000000 1.875000000 0.000001278
1.900000000 1.950000000 1.925000000 0.000001073
1.950000000 2.000000000 1.975000000 0.000000999
2.000000000 2.050000000 2.025000000 0.000000829
2.050000000 2.100000000 2.075000000 0.000000796
2.100000000 2.150000000 2.125000000 0.000000658
2.150000000 2.200000000 2.175000000 0.000000584
2.200000000 2.250000000 2.225000000 0.000000583
2.250000000 2.300000000 2.275000000 0.000000615
2.300000000 2.350000000 2.325000000 0.000000413
2.350000000 2.400000000 2.375000000 0.000000408
2.400000000 2.450000000 2.425000000 0.000000413
2.450000000 2.500000000 2.475000000 0.000000345
2.500000000 2.550000000 2.525000000 0.000000312
2.550000000 2.600000000 2.575000000 0.000000245
2.600000000 2.650000000 2.625000000 0.000000207
2.650000000 2.700000000 2.675000000 0.000000207
2.700000000 2.750000000 2.725000000 0.000000198
2.750000000 2.800000000 2.775000000 0.000000135
2.800000000 2.850000000 2.825000000 0.000000136
2.850000000 2.900000000 2.875000000 0.000000126
2.900000000 2.950000000 2.925000000 0.000000102
2.950000000 3.000000000 2.975000000 0.000000122
3.000000000 3.050000000 3.025000000 0.000000108
3.050000000 3.100000000 3.075000000 0.000000113
3.100000000 3.150000000 3.125000000 0.000000069
3.150000000 3.200000000 3.175000000 0.000000069
3.200000000 3.250000000 3.225000000 0.000000040
3.250000000 3.300000000 3.275000000 0.000000055
3.300000000 3.350000000 3.325000000 0.000000035
3.350000000 3.400000000 3.375000000 0.000000045
3.400000000 3.450000000 3.425000000 0.000000030
3.450000000 3.500000000 3.475000000 0.000000020
3.500000000 3.550000000 3.525000000 0.000000041
3.550000000 3.600000000 3.575000000 0.000000031
3.600000000 3.650000000 3.625000000 0.000000010
3.650000000 3.700000000 3.675000000 0.000000026
3.700000000 3.750000000 3.725000000 0.000000016
3.750000000 3.800000000 3.775000000 0.000000010
3.800000000 3.850000000 3.825000000 0.000000005
3.850000000 3.900000000 3.875000000 0.000000011
3.900000000 3.950000000 3.925000000 0.000000000
3.950000000 4.000000000 3.975000000 0.000000011
4.000000000 4.050000000 4.025000000 0.000000005
4.050000000 4.100000000 4.075000000 0.000000016
4.100000000 4.150000000 4.125000000 0.000000005
4.150000000 4.200000000 4.175000000 0.000000000
4.200000000 4.250000000 4.225000000 0.000000000
4.250000000 4.300000000 4.275000000 0.000000000
4.300000000 4.350000000 4.325000000 0.000000000
4.350000000 4.400000000 4.375000000 0.000000011
4.400000000 4.450000000 4.425000000 0.000000000
4.450000000 4.500000000 4.475000000 0.000000000
4.500000000 4.550000000 4.525000000 0.000000000
4.550000000 4.600000000 4.575000000 0.000000000
4.600000000 4.650000000 4.625000000 0.000000006
4.650000000 4.700000000 4.675000000 0.000000000
4.700000000 4.750000000 4.725000000 0.000000000
4.750000000 4.800000000 4.775000000 0.000000000
4.800000000 4.850000000 4.825000000 0.000000006
4.850000000 4.900000000 4.875000000 0.000000000
4.900000000 4.950000000 4.925000000 0.000000000
