#  R_hMpc M_hMsun sigma
5.825519503998150862e-03 1.000000000000000000e+08 5.610730093929032769e+00
5.980169716035885555e-03 1.081774017548856139e+08 5.585771192694426901e+00
6.138925431122209918e-03 1.170235025043789595e+08 5.560277586765415059e+00
6.301895638149293023e-03 1.265929844518006295e+08 5.534285804174444046e+00
6.469192219340135809e-03 1.369450013839242756e+08 5.507870278924797525e+00
6.640930027057910350e-03 1.481435443303209841e+08 5.481119992052524204e+00
6.817226962654366826e-03 1.602578371241383851e+08 5.454145210968041724e+00
6.998204057411373455e-03 1.733627643094694912e+08 5.427066973029657682e+00
7.183985555631262725e-03 1.875393340404296815e+08 5.399991420705750222e+00
7.374698999932993888e-03 2.028751788333525658e+08 5.373018159968748542e+00
7.570475318812599705e-03 2.194650972674984634e+08 5.346223059820609969e+00
7.771448916528174780e-03 2.374116399828115702e+08 5.319664034079631065e+00
7.977757765371039367e-03 2.568257435970688760e+08 5.293394755650409067e+00
8.189543500386356131e-03 2.778274164609735608e+08 5.267466098797600971e+00
8.406951516608389061e-03 3.005464804902065396e+08 5.241950898360771660e+00
8.630131068877005748e-03 3.251233736600587368e+08 5.216937332293200669e+00
8.859235374304061730e-03 3.517100181232796311e+08 5.192537598514054942e+00
9.094421717459898885e-03 3.804707593174013495e+08 5.168866214526297576e+00
9.335851558352273316e-03 4.115833818666478992e+08 5.146030210756196155e+00
9.583690643271840920e-03 4.452402085582287312e+08 5.124104748868860248e+00
9.838109118580153772e-03 4.816492891863257289e+08 5.103130423704000052e+00
1.009928164751847796e-02 5.210356866126407981e+08 5.083109523729087975e+00
1.036738753011755103e-02 5.636428679932832718e+08 5.064025291860806632e+00
1.064261082629047207e-02 6.097342097718526125e+08 5.045852093868100852e+00
1.092514048219348465e-02 6.595946257418731451e+08 5.028568554618288999e+00
1.121517045994116502e-02 7.135323282424203157e+08 5.012149403229564371e+00
1.151289987076518570e-02 7.718807333737912178e+08 4.996548371442845138e+00
1.181853311170808808e-02 8.350005220103235245e+08 4.981680503087846823e+00
1.213228000594579470e-02 9.032818693504981995e+08 4.967412758419233576e+00
1.245435594683535520e-02 9.771468567863296270e+08 4.953577314271615073e+00
1.278498204578662999e-02 1.057052081000983119e+09 4.939995584474359269e+00
1.312438528405963055e-02 1.143491476422810793e+09 4.926496984338027296e+00
1.347279866859155822e-02 1.236999368482777119e+09 4.912921035717840113e+00
1.383046139196058427e-02 1.338153776549009800e+09 4.899102469541021243e+00
1.419761899659625903e-02 1.447579986955594301e+09 4.884857548712309594e+00
1.457452354334915628e-02 1.565954418212274551e+09 4.869991803109304129e+00
1.496143378453553170e-02 1.694008802287871361e+09 4.854328645798847930e+00
1.535861534157587950e-02 1.832534707814073563e+09 4.837735656577123677e+00
1.576634088734919087e-02 1.982388433169749498e+09 4.820125697156395717e+00
1.618489033338817509e-02 2.144496299692419767e+09 4.801437092006085372e+00
1.661455102204402109e-02 2.319860377736920834e+09 4.781622288107271856e+00
1.705561792375251753e-02 2.509564680976876259e+09 4.760664021088940601e+00
1.750839383953695441e-02 2.714781867239064693e+09 4.738599374696558009e+00
1.797318960888699690e-02 2.936780487291983128e+09 4.715515871082208044e+00
1.845032432315602336e-02 3.176932826396937847e+09 4.691518993728220899e+00
1.894012554462351505e-02 3.436723387094252110e+09 4.666711416820352731e+00
1.944292953137302313e-02 3.717758065661056519e+09 4.641204595954818046e+00
1.995908146813984985e-02 4.021774078964824677e+09 4.615126870201110343e+00
2.048893570328707767e-02 4.350650703075623512e+09 4.588594537763576398e+00
2.103285599207267362e-02 4.706420890017866135e+09 4.496425247052594720e+00
2.159121574637454938e-02 5.091283834470491409e+09 4.474768696256783862e+00
2.216439829104505099e-02 5.507618568096688271e+09 4.460311795403915980e+00
2.275279712707097002e-02 5.957998665536617279e+09 4.437142760824969834e+00
2.335681620171969897e-02 6.445208152968270302e+09 4.413946015777690413e+00
2.397687018585678217e-02 6.972258717575126648e+09 4.390737056466217147e+00
2.461338475862562269e-02 7.542408324301269531e+09 4.367540805496274103e+00
2.526679689968450854e-02 8.159181354973309517e+09 4.344382574439559441e+00
2.593755518920165884e-02 8.826390394279199600e+09 4.321275243103720243e+00
2.662612011581419816e-02 9.548159797274024963e+09 4.308084987676862987e+00
2.733296439276266740e-02 1.032895118409557915e+10 4.275224871175089092e+00
2.805857328241783202e-02 1.117359101948509026e+10 4.252243738718954447e+00
2.880344492942270990e-02 1.208730044759618568e+10 4.229250489056625817e+00
2.956809070267867393e-02 1.307572756651619720e+10 4.206231806896318481e+00
3.035303554641010509e-02 1.414498234200455475e+10 4.183197569122089732e+00
3.115881834054880575e-02 1.530167437626786995e+10 4.160169047189326008e+00
3.198599227068565920e-02 1.655295376523966026e+10 4.137160167027558622e+00
3.283512520784327010e-02 1.790655529692377472e+10 4.114184566555806555e+00
3.370680009833043611e-02 1.937084626401395798e+10 4.091254515268017755e+00
3.460161536394625037e-02 2.095487818634358597e+10 4.068376543102131038e+00
3.552018531280829589e-02 2.266844276288779449e+10 4.045552926781252445e+00
3.646314056108705681e-02 2.452213239918539047e+10 4.022774852074314289e+00
3.743112846593632526e-02 2.652740568433170700e+10 4.000728408491852406e+00
3.842481356991647029e-02 2.869665822228788376e+10 3.977909904740527747e+00
3.944487805721576257e-02 3.104329925535073471e+10 3.955165923518553228e+00
4.049202222198325374e-02 3.358183455343211746e+10 3.918726523668591977e+00
4.156696494909430106e-02 3.632795608152725983e+10 3.900136277426889286e+00
4.267044420767899388e-02 3.929863899965215302e+10 3.879667584217830534e+00
4.380321755775234277e-02 4.251224659485575104e+10 3.858402506501864337e+00
4.496606267029418930e-02 4.598864379394479370e+10 3.836742491297110202e+00
4.615977786113517611e-02 4.974931995859891510e+10 3.814852073167006363e+00
4.738518263901633082e-02 5.381752172193698883e+10 3.792814057967514252e+00
4.864311826819774087e-02 5.821839668766249847e+10 3.770681138977243663e+00
4.993444834600289928e-02 6.297914888006569672e+10 3.748484909585851454e+00
5.126005939569495268e-02 6.812920690579611206e+10 3.726251949181746070e+00
5.262086147509238004e-02 7.370040586690022278e+10 3.704332036784137472e+00
5.401778880134134458e-02 7.972718414961796570e+10 3.682109481572925169e+00
5.545180039227386865e-02 8.624679630538957214e+10 3.659843966554883199e+00
5.692388072479245831e-02 9.329954333999897766e+10 3.637623158019163583e+00
5.843504041073258048e-02 1.009290218343843384e+11 3.615479146828727508e+00
5.998631689066728084e-02 1.091823934370579834e+11 3.593342556794204778e+00
6.157877514613057518e-02 1.181106763940059357e+11 3.571218875885457944e+00
6.321350843074788339e-02 1.277690609181566620e+11 3.549122956744250157e+00
6.489163902077589585e-02 1.382172503478786621e+11 3.527057609631877089e+00
6.661431898556725850e-02 1.495198302033805237e+11 3.505046754057094649e+00
6.838273097848855675e-02 1.617466674223337097e+11 3.483094112294279121e+00
7.019808904883478862e-02 1.749733422425963745e+11 3.461181840013885846e+00
7.206163947529806157e-02 1.892816154017241516e+11 3.439297690432397303e+00
7.397466162156211833e-02 2.047599335412606506e+11 3.417442337925131746e+00
7.593846881461030485e-02 2.215039759399660339e+11 3.395616641367048327e+00
7.795440924635040070e-02 2.396172459556222229e+11 3.373721496306698153e+00
8.002386689917435902e-02 2.592117108314054260e+11 3.351986802394413711e+00
8.214826249608943309e-02 2.804084938218014526e+11 3.330281206871061439e+00
8.432905447607208504e-02 3.033386229164336548e+11 3.308631984021057182e+00
8.656773999531469643e-02 3.281438407900476685e+11 3.287109581679635628e+00
8.886585595505260005e-02 3.549774809853613892e+11 3.265606594991894429e+00
9.122498005667677157e-02 3.840054157449072266e+11 3.244102915230146156e+00
9.364673188485628241e-02 4.154070813508864746e+11 3.222640535758129143e+00
9.613277401941511258e-02 4.493765873111923828e+11 3.201231298120347457e+00
9.868481317672540831e-02 4.861239162480227051e+11 3.179878856107291707e+00
1.013046013814014462e-01 5.258762219062066040e+11 3.158556079173475695e+00
1.039939371690989378e-01 5.688792333048909912e+11 3.137284943194916575e+00
1.067546668212444455e-01 6.153987737123439941e+11 3.116048241091888826e+00
1.095886856325439390e-01 6.657224038334407959e+11 3.094875210952497291e+00
1.124979392121393668e-01 7.201611993671833496e+11 3.073731004790355215e+00
1.154844248193070688e-01 7.790516739222393799e+11 3.052635119726371027e+00
1.185501927346155615e-01 8.427578591770213623e+11 3.031597887414593018e+00
1.216973476674828858e-01 9.116735551427994385e+11 3.010599612054808194e+00
1.249280502011005239e-01 9.862247644398734131e+11 2.989648357705783077e+00
1.282445182757161739e-01 1.066872325634294800e+12 2.968742486681722692e+00
1.316490287112927482e-01 1.154114761913102295e+12 2.947885881453703227e+00
1.351439187705895661e-01 1.248491362707176514e+12 2.927081111166335514e+00
1.387315877637390615e-01 1.350585517310786865e+12 2.906322171282857969e+00
1.424144986954197500e-01 1.461028321104590088e+12 2.885610369508998296e+00
1.461951799557568155e-01 1.580502476673970459e+12 2.864952329559909749e+00
1.500762270561116496e-01 1.709746513937517822e+12 2.844341555917285991e+00
1.540603044109503938e-01 1.849559355372337646e+12 2.823781251542710091e+00
1.581501471670169190e-01 2.000805254556203857e+12 2.803269579629430908e+00
1.623485630810641012e-01 2.164419138554126221e+12 2.782809404591636948e+00
1.666584344474334178e-01 2.341412387173327637e+12 2.762398846687765808e+00
1.710827200768065548e-01 2.532879084811144531e+12 2.742038311692601038e+00
1.756244573274864385e-01 2.740002783541622070e+12 2.721729371226607963e+00
1.802867641906025498e-01 2.964063819246865234e+12 2.701472770188420025e+00
1.850728414306732073e-01 3.206447226017883301e+12 2.681268130833836860e+00
1.899859747829924783e-01 3.468651297747751465e+12 2.661116638162457804e+00
1.950295372093512059e-01 3.752296849840633301e+12 2.641017081272476474e+00
2.002069912136416607e-01 4.059137238288018066e+12 2.620970557045001925e+00
2.055218912189332447e-01 4.391069198044991699e+12 2.600975642109339514e+00
2.109778860076537699e-01 4.750144567704158203e+12 2.581034476412257472e+00
2.165787212265494754e-01 5.138582972943202148e+12 2.561145745745300406e+00
2.223282419581441849e-01 5.558785547148904297e+12 2.541311622294192496e+00
2.282303953604639946e-01 6.013349774031777344e+12 2.521526247712890356e+00
2.342892333768379354e-01 6.505085543980863281e+12 2.501801461944293870e+00
2.405089155176355631e-01 7.037032523411153320e+12 2.482138150932969634e+00
2.468937117158527261e-01 7.612478944472438477e+12 2.462523645761013125e+00
2.534480052585033061e-01 8.234981931268028320e+12 2.442964607753244088e+00
2.601762957958307920e-01 8.908389488230035156e+12 2.423460807801957717e+00
2.670832024304068408e-01 9.636864286572593750e+12 2.404012546285859031e+00
2.741734668882344628e-01 1.042490939585872461e+13 2.384620288012830880e+00
2.814519567740352279e-01 1.127739611974089844e+13 2.365284908334225555e+00
2.889236689129555113e-01 1.219959410794199219e+13 2.346006568242474000e+00
2.965937327809833879e-01 1.319720393061374219e+13 2.326786551962333860e+00
3.044674140264347906e-01 1.427639231643156445e+13 2.307619124109201447e+00
3.125501180849231120e-01 1.544383027224979102e+13 2.288515199073503315e+00
3.208473938902959843e-01 1.670673431995427930e+13 2.269469189147581112e+00
3.293649376840869780e-01 1.807291110541826953e+13 2.250486807142283219e+00
3.381085969260963497e-01 1.955080565531166016e+13 2.231557170858470052e+00
3.470843743087854705e-01 2.114955358006336328e+13 2.212687123582762094e+00
3.562984318782430604e-01 2.287903754566990234e+13 2.193875724970146379e+00
3.657570952645497475e-01 2.474994836343045703e+13 2.175125891761970909e+00
3.754668580244455156e-01 2.677385107523487109e+13 2.156436124333269699e+00
3.854343860992843207e-01 2.896325644291158984e+13 2.137809065017299393e+00
3.956665223913313212e-01 3.133169828354620703e+13 2.119239822646747484e+00
4.061702914615499815e-01 3.389381712882032812e+13 2.100732809886088681e+00
4.169529043520993628e-01 3.666545072551021094e+13 2.082286138195014846e+00
4.280217635368545048e-01 3.966373193657473438e+13 2.063896124170196078e+00
4.393844680033503480e-01 4.290719464800925781e+13 2.045565854140993345e+00
4.510488184696340719e-01 4.641588833612778125e+13 2.027321356494720117e+00
4.630228227396092078e-01 5.021150200347196875e+13 2.009133888677769431e+00
4.753147012005506933e-01 5.431749824945821094e+13 1.990978011330600594e+00
4.879328924665602418e-01 5.875925830451937500e+13 1.972907862333655560e+00
5.008860591718383715e-01 6.356423892427081250e+13 1.954918921719977831e+00
5.141830939177534088e-01 6.876214211354375000e+13 1.936978565449324785e+00
5.278331253777843735e-01 7.438509872943359375e+13 1.919102167746015830e+00
5.418455245645331653e-01 8.046786709830757812e+13 1.901290427741894939e+00
5.562299112631086118e-01 8.704804787452360938e+13 1.883544426548569017e+00
5.709961606352943475e-01 9.416631646900843750e+13 1.865864369111595922e+00
5.861544099990422252e-01 1.018666744844562656e+14 1.848258855727121786e+00
6.017150657879358766e-01 1.101967217113915000e+14 1.830704901819786290e+00
6.176888106954138147e-01 1.192079503664452500e+14 1.813230929784293455e+00
6.340866110086427199e-01 1.289560633916741250e+14 1.795818804521500889e+00
6.509197241370890952e-01 1.395013187824958906e+14 1.778469690802618519e+00
6.681997063409520488e-01 1.509089020727042812e+14 1.761193364888560042e+00
6.859384206647575200e-01 1.632493292790762188e+14 1.743984900440094910e+00
7.041480450815713610e-01 1.765988827963819062e+14 1.726844995780767222e+00
7.228410808534169174e-01 1.910400829372816250e+14 1.709775491383590529e+00
7.420303611136314093e-01 2.066621980319298438e+14 1.692778513786358463e+00
7.617290596770637245e-01 2.235617962404773438e+14 1.675848505668570354e+00
7.819507000841575683e-01 2.418433424894999688e+14 1.658992265963555202e+00
8.027091648851207850e-01 2.616198442223103750e+14 1.642205882984000498e+00
8.240187051705688548e-01 2.830135499548737500e+14 1.625489074825038571e+00
8.458939503551791139e-01 3.061567049554478125e+14 1.608845069152801344e+00
8.683499182210635547e-01 3.311923687191745625e+14 1.592272818439180337e+00
8.914020252277718992e-01 3.582752992908625625e+14 1.575774679589203586e+00
9.150660970959938467e-01 3.875729099023951875e+14 1.559349566690672040e+00
9.393583796722196899e-01 4.192663038382149375e+14 1.542999891071728635e+00
9.642955500818336523e-01 4.535513939259251875e+14 1.526724602419967214e+00
9.898947281782840557e-01 4.906401135721305625e+14 1.510523749325619391e+00
1.016173488296199912e+00 5.307617268295507500e+14 1.494398618367575482e+00
1.043149871316508381e+00 5.741642455935715000e+14 1.478348555995949942e+00
1.070842397051854133e+00 6.211159626886641250e+14 1.462375076198870527e+00
1.099270076960814579e+00 6.719071103214416250e+14 1.446478429643323071e+00
1.128452427199630570e+00 7.268516541520686250e+14 1.430658419812316007e+00
1.158409482020430481e+00 7.862892340741123750e+14 1.414917610786959434e+00
1.189161807525139558e+00 8.505872636997658750e+14 1.399256064537218958e+00
1.220730515784501202e+00 9.201432015283840000e+14 1.383673993706206806e+00
1.253137279331929310e+00 9.953870078376235000e+14 1.368171800565680440e+00
1.286404346042128610e+00 1.076783802484441125e+15 1.352749327808116853e+00
1.320554554404685943e+00 1.164836740045127750e+15 1.337406937422536579e+00
1.355611349203143190e+00 1.260090120067126750e+15 1.322145729571067685e+00
1.391598797610301030e+00 1.363132751658636000e+15 1.306966413520665338e+00
1.428541605710795359e+00 1.474601593214190500e+15 1.291870065445421600e+00
1.466465135462308167e+00 1.595185689775254000e+15 1.276857537520093899e+00
1.505395422107051573e+00 1.725630432364620000e+15 1.261929142002863102e+00
1.545359192045459684e+00 1.866742165623645000e+15 1.247085556915823013e+00
1.586383881184387112e+00 2.019393172234536250e+15 1.232327081547648584e+00
1.628497653772399634e+00 2.184527064938883250e+15 1.217653461329096798e+00
1.671729421735069554e+00 2.363164619483147500e+15 1.203065687129577066e+00
1.716108864523580024e+00 2.556410084547590500e+15 1.188564053689320721e+00
1.761666449490253417e+00 2.765458007663458500e+15 1.174149898159238425e+00
1.808433452804970587e+00 2.991600619312755000e+15 1.159824217496688181e+00
1.856441980926879065e+00 3.236235820855605500e+15 1.145587515052978178e+00
1.905724992646098626e+00 3.500875825662478000e+15 1.131440494494009519e+00
1.956316321710580786e+00 3.787156506866568000e+15 1.117383299369157257e+00
2.008250700053625160e+00 4.096847509519340500e+15 1.103416191885310926e+00
2.061563781638032555e+00 4.431863189657749500e+15 1.089539226255126891e+00
2.116292166933253505e+00 4.794274447902951000e+15 1.075752620687239425e+00
2.172473428042310584e+00 5.186321530739799000e+15 1.062057565773034673e+00
2.230146134495785137e+00 5.610427878608511000e+15 1.048454980922864044e+00
2.289349879730558257e+00 6.069215106410436000e+15 1.034944915173822810e+00
2.350125308271464153e+00 6.565519209029825000e+15 1.021528614680591973e+00
2.412514143634554742e+00 7.102408092046360000e+15 1.008205886354993419e+00
2.476559216971113919e+00 7.683200536004497000e+15 9.949770111345268564e-01
2.542304496472063136e+00 8.311486711467111000e+15 9.818418119706755487e-01
2.609795117552987875e+00 8.991150371667680000e+15 9.688000488667629639e-01
2.679077413840488919e+00 9.726392859944840000e+15 9.558520863803715573e-01
2.750198948981103175e+00 1.052175908036104000e+16 9.429934607489495191e-01
2.823208549294682346e+00 1.138216559204328200e+16 9.302393414815991468e-01
2.898156337294622187e+00 1.231293100091101600e+16 9.175755961889876522e-01
2.975093766097926640e+00 1.331980883665737000e+16 9.050066895423898305e-01
3.054073654748783451e+00 1.440902311821355400e+16 8.925337183885339032e-01
3.135150224479878567e+00 1.558730682754423000e+16 8.801551304048982338e-01
3.218379135936308089e+00 1.686194352959923800e+16 8.678708636691652156e-01
3.303817527387706843e+00 1.824081239569645200e+16 8.556805084347833823e-01
3.391524053954793061e+00 1.973243690864752400e+16 8.435845409359153946e-01
3.481558927877232978e+00 2.134603755069697200e+16 8.315821775535040539e-01
3.573983959850527636e+00 2.309158879996620400e+16 8.196741411860877236e-01
3.668862601460256556e+00 2.497988078772553600e+16 8.078606282422988727e-01
3.766259988742838960e+00 2.702258599762934400e+16 7.961415614266326157e-01
3.866242986902671763e+00 2.923233141921496400e+16 7.845164837606869446e-01
3.968880236216407731e+00 3.162277660168377200e+16 7.729848600059618935e-01
