# Matter power spectrum P(k) at redshift z=0.092657
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       4.931691789925e+01 
       1.307253015860e-05       6.151703532384e+01 
       1.645734041311e-05       7.673510588135e+01 
       2.071856405662e-05       9.571772891850e+01 
       2.608312678676e-05       1.193959703434e+02 
       3.283671113090e-05       1.489310581063e+02 
       4.133897008243e-05       1.857711837163e+02 
       5.204267993417e-05       2.317220546107e+02 
       6.551785226700e-05       2.890347013873e+02 
       8.248208914511e-05       3.605142825569e+02 
       1.038387980426e-04       4.496545139457e+02 
       1.307253015860e-04       5.608028144704e+02 
       1.645734041311e-04       6.993614383872e+02 
       2.071856405662e-04       8.720290373420e+02 
       2.608312678676e-04       1.087084650492e+03 
       3.283671113090e-04       1.354710723686e+03 
       4.133897008243e-04       1.687342596639e+03 
       5.204267993417e-04       2.100019432058e+03 
       6.551785226700e-04       2.610698070322e+03 
       8.248208914511e-04       3.240471961144e+03 
       1.038387980426e-03       4.013573368226e+03 
       1.307253015860e-03       4.956878667125e+03 
       1.645734041311e-03       6.098384076116e+03 
       2.071856405662e-03       7.464991950425e+03 
       2.608312678676e-03       9.077919660382e+03 
       3.283671113090e-03       1.094635116737e+04 
       4.133897008243e-03       1.305883443219e+04 
       5.204267993417e-03       1.537153791201e+04 
       6.551785226700e-03       1.779401162056e+04 
       8.248208914511e-03       2.017629777749e+04 
       1.038387980426e-02       2.229077588710e+04 
       1.307253015860e-02       2.382481270867e+04 
       1.645734041309e-02       2.440017517423e+04 
       2.071856389740e-02       2.364598411758e+04 
       2.608300445243e-02       2.139223865238e+04 
       3.281964991556e-02       1.798519113116e+04 
       4.076731882098e-02       1.458648484718e+04 
       4.748610964640e-02       1.263978695176e+04 
       5.235556489500e-02       1.168466890806e+04 
       5.636819838611e-02       1.108967284369e+04 
       5.994952259956e-02       1.064070721719e+04 
       6.328896038018e-02       1.024827199288e+04 
       6.648665992189e-02       9.867490694613e+03 
       6.960262323712e-02       9.475414745365e+03 
       7.267623995969e-02       9.059829460175e+03 
       7.573525737584e-02       8.618321077252e+03 
       7.880036892493e-02       8.154300543201e+03 
       8.188776255393e-02       7.676362417645e+03 
       8.501063007773e-02       7.196234778030e+03 
       8.818010842318e-02       6.727054522131e+03 
       9.140589175815e-02       6.282223238198e+03 
       9.469664359045e-02       5.873487610485e+03 
       9.806028224808e-02       5.509908183707e+03 
       1.015041833512e-01       5.197239267369e+03 
       1.050353261720e-01       4.936274062377e+03 
       1.086604010236e-01       4.723726841777e+03 
       1.123858889329e-01       4.551944764241e+03 
       1.162181211904e-01       4.409306942526e+03 
       1.201633240441e-01       4.281530963552e+03 
       1.242276522951e-01       4.153162701865e+03 
       1.284172145558e-01       4.010017751265e+03 
       1.327380922745e-01       3.841980619065e+03 
       1.371963541906e-01       3.645427734384e+03 
       1.417980675894e-01       3.424498733842e+03 
       1.465493075383e-01       3.190021342101e+03 
       1.514561651563e-01       2.957595111785e+03 
       1.565247558934e-01       2.743111442230e+03 
       1.617612287437e-01       2.559090663046e+03 
       1.671717772872e-01       2.411450861242e+03 
       1.727626534338e-01       2.298198745758e+03 
       1.785401847321e-01       2.209455894294e+03 
       1.845107960933e-01       2.131165301709e+03 
       1.906810367808e-01       2.047553571477e+03 
       1.970576135147e-01       1.946698712410e+03 
       2.036474305566e-01       1.826553479490e+03 
       2.104576376707e-01       1.695927644400e+03 
       2.174956869163e-01       1.568636318516e+03 
       2.247693993211e-01       1.457147017241e+03 
       2.322870426350e-01       1.367733229847e+03 
       2.400574215756e-01       1.298549495628e+03 
       2.480899822819e-01       1.239877745274e+03 
       2.563949331083e-01       1.179647856033e+03 
       2.649833844501e-01       1.110647335372e+03 
       2.738675110412e-01       1.034113420951e+03 
       2.830607411522e-01       9.582611937711e+02 
       2.925779784269e-01       8.922975799319e+02 
       3.024358638260e-01       8.387685360819e+02 
       3.126530874568e-01       7.930165129660e+02 
       3.232507631655e-01       7.477145258836e+02 
       3.342528829678e-01       6.987130400472e+02 
       3.456868741616e-01       6.487802938436e+02 
       3.575842899774e-01       6.030905343022e+02 
       3.699816759319e-01       5.639975309806e+02 
       3.829216702507e-01       5.284815600136e+02 
       3.964544203492e-01       4.928512169135e+02 
