# LX fraction
4.220000000000000284e+01 5.622995168713786907e-01
4.259999999999999432e+01 5.294080995234983211e-01
4.300000000000000000e+01 5.202309147292613067e-01
4.340000000000000568e+01 4.344919372474816965e-01
4.379999999999999716e+01 2.751741271869233008e-01
4.420000000000000284e+01 8.551229128520290712e-02
4.459999999999999432e+01 3.555976949091710360e-03
4.500000000000000000e+01 1.296700856046180926e-02
4.540000000000000568e+01 4.511220596078909656e-02
4.579999999999999716e+01 1.056414858638306808e-01
