# logMs_low logMs_up counts dN_dVdlogM
6.000000000000000000e+00 6.099999999999999645e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.099999999999999645e+00 6.199999999999999289e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.199999999999999289e+00 6.299999999999998934e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.299999999999998934e+00 6.399999999999998579e+00 1.704100000000000000e+05 2.662656250000009286e-02
6.399999999999998579e+00 6.499999999999998224e+00 4.576100000000000000e+05 7.150156250000025415e-02
6.499999999999998224e+00 6.599999999999997868e+00 7.713610000000000000e+05 1.205251562500004175e-01
6.599999999999997868e+00 6.699999999999997513e+00 1.149270000000000000e+06 1.795734375000006267e-01
6.699999999999997513e+00 6.799999999999997158e+00 1.442482000000000000e+06 2.253878125000008115e-01
6.799999999999997158e+00 6.899999999999996803e+00 1.362310000000000000e+06 2.128609375000007631e-01
6.899999999999996803e+00 6.999999999999996447e+00 1.247559000000000000e+06 1.949310937500007002e-01
6.999999999999996447e+00 7.099999999999996092e+00 1.135353000000000000e+06 1.773989062500006542e-01
7.099999999999996092e+00 7.199999999999995737e+00 1.045923000000000000e+06 1.634254687500005798e-01
7.199999999999995737e+00 7.299999999999995381e+00 9.493950000000000000e+05 1.483429687500005256e-01
7.299999999999995381e+00 7.399999999999995026e+00 8.742300000000000000e+05 1.365984375000005024e-01
7.399999999999995026e+00 7.499999999999994671e+00 7.980540000000000000e+05 1.246959375000004366e-01
7.499999999999994671e+00 7.599999999999994316e+00 7.268170000000000000e+05 1.135651562500004097e-01
7.599999999999994316e+00 7.699999999999993960e+00 6.619710000000000000e+05 1.034329687500003675e-01
7.699999999999993960e+00 7.799999999999993605e+00 6.080900000000000000e+05 9.501406250000032916e-02
7.799999999999993605e+00 7.899999999999993250e+00 5.531370000000000000e+05 8.642765625000030372e-02
7.899999999999993250e+00 7.999999999999992895e+00 5.022200000000000000e+05 7.847187500000027405e-02
7.999999999999992895e+00 8.099999999999992539e+00 4.614860000000000000e+05 7.210718750000026656e-02
8.099999999999992539e+00 8.199999999999992184e+00 4.191480000000000000e+05 6.549187500000022699e-02
8.199999999999992184e+00 8.299999999999991829e+00 3.827840000000000000e+05 5.981000000000021022e-02
8.299999999999991829e+00 8.399999999999991473e+00 3.485250000000000000e+05 5.445703125000019712e-02
8.399999999999991473e+00 8.499999999999991118e+00 3.172550000000000000e+05 4.957109375000017665e-02
8.499999999999991118e+00 8.599999999999990763e+00 2.899650000000000000e+05 4.530703125000015707e-02
8.599999999999990763e+00 8.699999999999990408e+00 2.633570000000000000e+05 4.114953125000014866e-02
8.699999999999990408e+00 8.799999999999990052e+00 2.408810000000000000e+05 3.763765625000013021e-02
8.799999999999990052e+00 8.899999999999989697e+00 2.201730000000000000e+05 3.440203125000012435e-02
8.899999999999989697e+00 8.999999999999989342e+00 1.998070000000000000e+05 3.121984375000010775e-02
8.999999999999989342e+00 9.099999999999988987e+00 1.828530000000000000e+05 2.857078125000010044e-02
9.099999999999988987e+00 9.199999999999988631e+00 1.673270000000000000e+05 2.614484375000009422e-02
9.199999999999988631e+00 9.299999999999988276e+00 1.523580000000000000e+05 2.380593750000008224e-02
9.299999999999988276e+00 9.399999999999987921e+00 1.399780000000000000e+05 2.187156250000007671e-02
9.399999999999987921e+00 9.499999999999987566e+00 1.277460000000000000e+05 1.996031250000007001e-02
9.499999999999987566e+00 9.599999999999987210e+00 1.168620000000000000e+05 1.825968750000006580e-02
9.599999999999987210e+00 9.699999999999986855e+00 1.076430000000000000e+05 1.681921875000005895e-02
9.699999999999986855e+00 9.799999999999986500e+00 9.906500000000000000e+04 1.547890625000005425e-02
9.799999999999986500e+00 9.899999999999986144e+00 9.157100000000000000e+04 1.430796875000005068e-02
9.899999999999986144e+00 9.999999999999985789e+00 8.470100000000000000e+04 1.323453125000004747e-02
9.999999999999985789e+00 1.009999999999998543e+01 7.868700000000000000e+04 1.229484375000004445e-02
1.009999999999998543e+01 1.019999999999998508e+01 7.428800000000000000e+04 1.160750000000004140e-02
1.019999999999998508e+01 1.029999999999998472e+01 6.978400000000000000e+04 1.090375000000003841e-02
1.029999999999998472e+01 1.039999999999998437e+01 6.669000000000000000e+04 1.042031250000003718e-02
1.039999999999998437e+01 1.049999999999998401e+01 6.391200000000000000e+04 9.986250000000036764e-03
