# logMs_low logMs_up counts dN_dVdlogM
6.000000000000000000e+00 6.099999999999999645e+00 1.703200000000000000e+04 2.661250000000009528e-03
6.099999999999999645e+00 6.199999999999999289e+00 1.839520000000000000e+05 2.874250000000010130e-02
6.199999999999999289e+00 6.299999999999998934e+00 3.036840000000000000e+05 4.745062500000016975e-02
6.299999999999998934e+00 6.399999999999998579e+00 3.732680000000000000e+05 5.832312500000020467e-02
6.399999999999998579e+00 6.499999999999998224e+00 6.684230000000000000e+05 1.044410937500003661e-01
6.499999999999998224e+00 6.599999999999997868e+00 1.111167000000000000e+06 1.736198437500006131e-01
6.599999999999997868e+00 6.699999999999997513e+00 1.113752000000000000e+06 1.740237500000006154e-01
6.699999999999997513e+00 6.799999999999997158e+00 1.184624000000000000e+06 1.850975000000006643e-01
6.799999999999997158e+00 6.899999999999996803e+00 1.289140000000000000e+06 2.014281250000007351e-01
6.899999999999996803e+00 6.999999999999996447e+00 1.156161000000000000e+06 1.806501562500006375e-01
6.999999999999996447e+00 7.099999999999996092e+00 1.080082000000000000e+06 1.687628125000006085e-01
7.099999999999996092e+00 7.199999999999995737e+00 9.796730000000000000e+05 1.530739062500005576e-01
7.199999999999995737e+00 7.299999999999995381e+00 8.874500000000000000e+05 1.386640625000004901e-01
7.299999999999995381e+00 7.399999999999995026e+00 8.173230000000000000e+05 1.277067187500004475e-01
7.399999999999995026e+00 7.499999999999994671e+00 7.524220000000000000e+05 1.175659375000004253e-01
7.499999999999994671e+00 7.599999999999994316e+00 6.762750000000000000e+05 1.056679687500003822e-01
7.599999999999994316e+00 7.699999999999993960e+00 6.261440000000000000e+05 9.783500000000035224e-02
7.699999999999993960e+00 7.799999999999993605e+00 5.707080000000000000e+05 8.917312500000032505e-02
7.799999999999993605e+00 7.899999999999993250e+00 5.164460000000000000e+05 8.069468750000029222e-02
7.899999999999993250e+00 7.999999999999992895e+00 4.708190000000000000e+05 7.356546875000026520e-02
7.999999999999992895e+00 8.099999999999992539e+00 4.319360000000000000e+05 6.749000000000023036e-02
8.099999999999992539e+00 8.199999999999992184e+00 3.910450000000000000e+05 6.110078125000021482e-02
