#  logVol massN100 massN10k massN1M 
5.00 13.74 11.87 9.62
5.10 13.81 11.98 9.73
5.20 13.88 12.08 9.85
5.30 13.95 12.19 9.96
5.40 14.01 12.30 10.07
5.50 14.07 12.40 10.18
5.60 14.13 12.50 10.30
5.70 14.19 12.60 10.41
5.80 14.25 12.70 10.52
5.90 14.30 12.80 10.64
6.00 14.35 12.90 10.75
6.10 14.40 12.99 10.86
6.20 14.45 13.09 10.97
6.30 14.49 13.18 11.09
6.40 14.54 13.26 11.20
6.50 14.58 13.35 11.31
6.60 14.63 13.43 11.42
6.70 14.67 13.51 11.53
6.80 14.70 13.59 11.65
6.90 14.74 13.67 11.76
7.00 14.78 13.74 11.87
7.10 14.81 13.81 11.98
7.20 14.85 13.88 12.08
7.30 14.88 13.95 12.19
7.40 14.91 14.01 12.30
7.50 14.94 14.07 12.40
7.60 14.97 14.13 12.50
7.70 15.00 14.19 12.60
7.80 15.03 14.25 12.70
7.90 15.06 14.30 12.80
8.00 15.08 14.35 12.90
8.10 15.11 14.40 12.99
8.20 15.13 14.45 13.09
8.30 15.16 14.49 13.18
8.40 15.18 14.54 13.26
8.50 15.20 14.58 13.35
8.60 15.23 14.63 13.43
8.70 15.25 14.67 13.51
8.80 15.27 14.70 13.59
8.90 15.29 14.74 13.67
9.00 15.31 14.78 13.74
9.10 15.33 14.81 13.81
9.20 15.34 14.85 13.88
9.30 15.36 14.88 13.95
9.40 15.38 14.91 14.01
9.50 15.39 14.94 14.07
9.60 15.40 14.97 14.13
9.70 15.42 15.00 14.19
9.80 15.43 15.03 14.25
9.90 15.44 15.06 14.30
10.00 15.45 15.08 14.35
10.10 -1.00 15.11 14.40
10.20 -1.00 15.13 14.45
10.30 -1.00 15.16 14.49
10.40 -1.00 15.18 14.54
10.50 -1.00 15.20 14.58
10.60 -1.00 15.23 14.63
10.70 -1.00 15.25 14.67
10.80 -1.00 15.27 14.70
10.90 -1.00 15.29 14.74
11.00 -1.00 15.31 14.78
11.10 -1.00 15.33 14.81
11.20 -1.00 15.34 14.85
11.30 -1.00 15.36 14.88
11.40 -1.00 15.38 14.91
11.50 -1.00 15.39 14.94
11.60 -1.00 15.40 14.97
11.70 -1.00 15.42 15.00
11.80 -1.00 15.43 15.03
11.90 -1.00 15.44 15.06
12.00 -1.00 15.45 15.08
12.10 -1.00 -1.00 15.11
12.20 -1.00 -1.00 15.13
12.30 -1.00 -1.00 15.16
12.40 -1.00 -1.00 15.18
12.50 -1.00 -1.00 15.20
12.60 -1.00 -1.00 15.23
12.70 -1.00 -1.00 15.25
12.80 -1.00 -1.00 15.27
12.90 -1.00 -1.00 15.29
13.00 -1.00 -1.00 15.31
