#  R_hMpc M_hMsun sigma
7.293781870819839898e-03 1.000000000000000447e+08 8.283021383153069905e+00
7.487410080648185945e-03 1.081774017548856735e+08 8.241674550018363021e+00
7.686178543407766808e-03 1.170235025043789893e+08 8.200653650926772897e+00
7.890223717521783336e-03 1.265929844518007189e+08 8.160045862676096107e+00
8.099685683978586140e-03 1.369450013839243948e+08 8.119926334840233295e+00
8.314708242500027519e-03 1.481435443303210735e+08 8.080392025623533314e+00
8.535439010262801593e-03 1.602578371241384745e+08 8.041568613069927096e+00
8.762029523240460679e-03 1.733627643094695508e+08 8.003613415476385384e+00
8.994635340235835122e-03 1.875393340404297411e+08 7.966705819134570099e+00
9.233416149675214429e-03 2.028751788333525956e+08 7.931017053190238641e+00
9.478535879237512396e-03 2.194650972674985826e+08 7.896687770757313096e+00
9.730162808393831575e-03 2.374116399828116596e+08 7.863802072669271226e+00
9.988469683934637910e-03 2.568257435970689058e+08 7.832387385083904974e+00
1.025363383856373392e-02 2.778274164609736800e+08 7.802427150045156523e+00
1.052583731264065264e-02 3.005464804902063012e+08 7.773884285924646420e+00
1.080526697915491774e-02 3.251233736600589752e+08 7.746724379726567022e+00
1.109211467201797960e-02 3.517100181232798696e+08 7.720911602340796875e+00
1.138657731776092363e-02 3.804707593174009323e+08 7.696393982131710665e+00
1.168885707072839578e-02 4.115833818666480184e+08 7.673068024550810939e+00
1.199916145186149044e-02 4.452402085582289100e+08 7.650759197920415033e+00
1.231770349116489971e-02 4.816492891863251328e+08 7.629229114547376511e+00
1.264470187395619859e-02 5.210356866126410961e+08 7.608204583226958917e+00
1.298038109099755935e-02 5.636428679932836294e+08 7.587415522965207160e+00
1.332497159261301217e-02 6.097342097718529701e+08 7.566610984451151545e+00
1.367870994689713432e-02 6.595946257418735027e+08 7.545543239616392839e+00
1.404183900212361939e-02 7.135323282424206734e+08 7.523942026950433792e+00
1.441460805346534563e-02 7.718807333737915754e+08 7.501511194315773956e+00
1.479727301414040727e-02 8.350005220103240013e+08 7.477961591086748072e+00
1.519009659110147521e-02 9.032818693504990339e+08 7.453058039935650747e+00
1.559334846538929648e-02 9.771468567863302231e+08 7.426639683386127011e+00
1.600730547727392469e-02 1.057052081000983596e+09 7.398599129076211867e+00
1.643225181631101026e-02 1.143491476422811270e+09 7.368853507232128841e+00
1.686847921644345563e-02 1.236999368482778072e+09 7.337351494820255837e+00
1.731628715628240681e-02 1.338153776549010515e+09 7.304112255407566145e+00
1.777598306470523290e-02 1.447579986955595016e+09 7.269242308165838828e+00
1.824788253191140033e-02 1.565954418212275743e+09 7.232898840482806513e+00
1.873230952608125749e-02 1.694008802287871599e+09 7.195241935672775035e+00
1.922959661578658996e-02 1.832534707814074278e+09 7.156433581520285969e+00
1.974008519830536962e-02 1.982388433169751167e+09 7.116662323718192518e+00
2.026412573399761358e-02 2.144496299692420244e+09 7.076122906861779249e+00
2.080207798690332857e-02 2.319860377736921787e+09 6.931301741814615447e+00
2.135431127172748508e-02 2.509564680976876736e+09 6.897705731209751612e+00
2.192120470738173968e-02 2.714781867239065647e+09 6.864744064819300107e+00
2.250314747725701281e-02 2.936780487291985035e+09 6.840887965794955505e+00
2.310053909640544592e-02 3.176932826396939754e+09 6.805219406727208487e+00
2.371378968581522306e-02 3.436723387094255447e+09 6.769519959197286774e+00
2.434332025396670346e-02 3.717758065661058903e+09 6.776513642494744971e+00
2.498956298586291896e-02 4.021774078964828968e+09 6.698168739116176162e+00
2.565296153973293386e-02 4.350650703075626373e+09 6.662587074493872663e+00
2.633397135161197680e-02 4.706420890017868996e+09 6.627091022595203107e+00
2.703305994800709114e-02 5.091283834470494270e+09 6.608702500573129690e+00
2.775070726686317338e-02 5.507618568096692085e+09 6.556320971105717987e+00
2.848740598704974439e-02 5.957998665536620140e+09 6.520961728297320903e+00
2.924366186659467515e-02 6.445208152968272209e+09 6.485567778770380265e+00
3.001999408989678569e-02 6.972258717575131416e+09 6.450139121777654694e+00
3.081693562415612625e-02 7.542408324301274300e+09 6.414706281213413241e+00
3.163503358526637693e-02 8.159181354973315239e+09 6.379295542269421304e+00
3.247484961342052973e-02 8.826390394279199600e+09 6.343926659786496280e+00
3.333696025868780610e-02 9.548159797274030685e+09 6.308621302086215188e+00
3.422195737682656724e-02 1.032895118409558487e+10 6.273392068398149668e+00
3.513044853560481212e-02 1.117359101948509407e+10 6.238246792108611771e+00
3.606305743190722779e-02 1.208730044759619331e+10 6.203179604597417018e+00
3.702042431991535432e-02 1.307572756651620293e+10 6.168165754704581616e+00
3.800320645065451142e-02 1.414498234200456047e+10 6.134146080913714272e+00
3.901207852320937725e-02 1.530167437626787758e+10 6.099158581092005704e+00
4.004773314791817279e-02 1.655295376523966789e+10 6.063517007102874778e+00
4.111088132186310057e-02 1.790655529692378616e+10 6.012336467860319722e+00
4.220225291698361664e-02 1.937084626401396179e+10 5.981749411656395843e+00
4.332259718114790659e-02 2.095487818634360886e+10 5.949441876132240736e+00
4.447268325252603377e-02 2.266844276288781357e+10 5.916332589732941294e+00
4.565330068761825483e-02 2.452213239918539810e+10 5.882787437946018549e+00
4.686526000330107355e-02 2.652740568433172989e+10 5.848968699748636091e+00
4.810939323326277051e-02 2.869665822228789902e+10 5.814974628220074493e+00
4.938655449921071361e-02 3.104329925535075378e+10 5.780865164872714956e+00
5.069762059724267078e-02 3.358183455343214417e+10 5.746682204617281187e+00
5.204349159978437223e-02 3.632795608152729034e+10 5.713012389930243629e+00
5.342509147350668619e-02 3.929863899965218353e+10 5.678676610999420227e+00
5.484336871364679095e-02 4.251224659485576630e+10 5.644525602959322264e+00
5.629929699516883490e-02 4.598864379394482422e+10 5.610333848827940173e+00
