# Matter power spectrum P(k) at redshift z=1
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       2.015657089275e+01 
       1.307253015860e-05       2.514293201366e+01 
       1.645734041311e-05       3.136280353930e+01 
       2.071856405662e-05       3.912130967882e+01 
       2.608312678676e-05       4.879899447739e+01 
       3.283671113090e-05       6.087050626607e+01 
       4.133897008243e-05       7.592776717810e+01 
       5.204267993417e-05       9.470887241339e+01 
       6.551785226700e-05       1.181339926733e+02 
       8.248208914511e-05       1.473499139255e+02 
       1.038387980426e-04       1.837851110206e+02 
       1.307253015860e-04       2.292174866055e+02 
       1.645734041311e-04       2.858570293379e+02 
       2.071856405662e-04       3.564453477199e+02 
       2.608312678676e-04       4.443730766832e+02 
       3.283671113090e-04       5.538138264720e+02 
       4.133897008243e-04       6.898689982088e+02 
       5.204267993417e-04       8.587110189457e+02 
       6.551785226700e-04       1.067704454364e+03 
       8.248208914511e-04       1.325477948449e+03 
       1.038387980426e-03       1.641912295321e+03 
       1.307253015860e-03       2.027969958413e+03 
       1.645734041311e-03       2.495116815374e+03 
       2.071856405662e-03       3.054364282601e+03 
       2.608312678676e-03       3.714391654594e+03 
       3.283671113090e-03       4.478959985749e+03 
       4.133897008243e-03       5.343383399682e+03 
       5.204267993417e-03       6.289768120409e+03 
       6.551785226700e-03       7.281359749206e+03 
       8.248208914511e-03       8.256205589480e+03 
       1.038387980426e-02       9.121267405088e+03 
       1.307253015860e-02       9.749227180885e+03 
       1.645734041309e-02       9.984560280894e+03 
       2.071856389740e-02       9.675569014975e+03 
       2.608300445243e-02       8.753454320032e+03 
       3.281964991556e-02       7.359298389456e+03 
       4.076731882098e-02       5.968584474099e+03 
       4.748610964640e-02       5.172111438946e+03 
       5.235556489500e-02       4.781270282745e+03 
       5.636819838611e-02       4.537775786242e+03 
       5.994952259956e-02       4.354081443697e+03 
       6.328896038018e-02       4.193490642134e+03 
       6.648665992189e-02       4.037823536007e+03 
