# Matter power spectrum P(k) at redshift z=1.96121
# for k=1.03839e-05 to 103946 h/Mpc,
# number of wavenumbers equal to 162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038387980426e-05       9.776286859942e+00 
       1.307253015860e-05       1.219476307197e+01 
       1.645734041311e-05       1.521151474565e+01 
       2.071856405662e-05       1.897452940703e+01 
       2.608312678676e-05       2.366838872837e+01 
       3.283671113090e-05       2.952331202515e+01 
       4.133897008243e-05       3.682640363235e+01 
       5.204267993417e-05       4.593568193199e+01 
       6.551785226700e-05       5.729750223751e+01 
       8.248208914511e-05       7.146818419950e+01 
       1.038387980426e-04       8.914078028229e+01 
       1.307253015860e-04       1.111780236536e+02 
       1.645734041311e-04       1.386526130556e+02 
       2.071856405662e-04       1.728958346356e+02 
       2.608312678676e-04       2.155551273261e+02 
       3.283671113090e-04       2.686600661903e+02 
       4.133897008243e-04       3.346940373582e+02 
       5.204267993417e-04       4.166650790428e+02 
       6.551785226700e-04       5.181641064519e+02 
       8.248208914511e-04       6.433936626502e+02 
       1.038387980426e-03       7.971483780186e+02 
       1.307253015860e-03       9.847245631665e+02 
       1.645734041311e-03       1.211668445750e+03 
       2.071856405662e-03       1.483340864398e+03 
       2.608312678676e-03       1.803956309712e+03 
       3.283671113090e-03       2.175341376971e+03 
       4.133897008243e-03       2.595220474354e+03 
       5.204267993417e-03       3.054903532947e+03 
       6.551785226700e-03       3.536511892986e+03 
       8.248208914511e-03       4.010108764123e+03 
       1.038387980426e-02       4.430244872566e+03 
       1.307253015860e-02       4.735252612635e+03 
       1.645734041309e-02       4.849561900687e+03 
       2.071856389740e-02       4.699462042697e+03 
       2.608300445243e-02       4.251588207678e+03 
       3.281964991556e-02       3.574442231375e+03 
       4.076731882098e-02       2.898984574753e+03 
       4.748610964640e-02       2.512116678000e+03 
       5.235556489500e-02       2.322315081687e+03 
       5.636819838611e-02       2.204053429270e+03 
       5.994952259956e-02       2.114795864428e+03 
       6.328896038018e-02       2.036813988113e+03 
       6.648665992189e-02       1.961209146278e+03 
       6.960262323712e-02       1.883242645752e+03 
       7.267623995969e-02       1.800656676384e+03 
       7.573525737584e-02       1.712846839132e+03 
       7.880036892493e-02       1.620671549594e+03 
       8.188776255393e-02       1.525678191706e+03 
       8.501063007773e-02       1.430234039921e+03 
       8.818010842318e-02       1.336982456350e+03 
       9.140589175815e-02       1.248559174584e+03 
       9.469664359045e-02       1.167328406341e+03 
       9.806028224808e-02       1.095094163945e+03 
       1.015041833512e-01       1.032931433231e+03 
       1.050353261720e-01       9.810596132373e+02 
       1.086604010236e-01       9.388173880314e+02 
       1.123858889329e-01       9.046745380681e+02 
       1.162181211904e-01       8.763325599511e+02 
       1.201633240441e-01       8.509411082439e+02 
       1.242276522951e-01       8.254291885118e+02 
       1.284172145558e-01       7.969815814537e+02 
       1.327380922745e-01       7.635798159711e+02 
       1.371963541906e-01       7.245210610947e+02 
       1.417980675894e-01       6.806067410966e+02 
       1.465493075383e-01       6.340123555070e+02 
       1.514561651563e-01       5.878113924304e+02 
       1.565247558934e-01       5.451802820724e+02 
       1.617612287437e-01       5.086107668822e+02 
       1.671717772872e-01       4.792699875863e+02 
       1.727626534338e-01       4.567548133586e+02 
       1.785401847321e-01       4.391239708526e+02 
