# name Lbox Npart Mpart
M04  590.2      	3840    8.14
M10  1475.5     	3840    9.34
M25  3688.9    	3840    10.54
M40 	5902.3     	4096    11.14
D80  11627.9  	10240   10.74
DS    2325.5   	4096    	9.85
DS    1162.7   	4096   	8.95
OR   	4225.3   	10240   9.41
QC  	1830.9   	8192   	8.32
#M1   500    		3000   	8.90
#M2   100    		3000  	6.8382
#Ultimate\nSimulation 10000 60000  	8.0
Mi 	684.9   		2160   	9.07
#Mi 	100.    		3000  	6.8382
P-Mi 	800. 			3000		8.19
Mi-XXL 4109.6 	6720		10.06
De 	92.3 			1024 	7.44
De 	184.6 		1024 	8.34
De 	369.2 		1024 	9.25
De 	738.5 		1024 	10.14
De 	1477.1 		1024 	11.04
De 	2954.2 		1024 	11.96
