# z delta_c mvir_star rvir_star
0.000000000000000000e+00 1.685999999999999943e+00 4.488426429384476562e+12 2.525908575073805284e+00
1.000000000000000056e-01 1.766152480345371201e+00 2.520504622689549805e+12 2.416728968679335843e+00
2.000000000000000111e-01 1.867462475381341802e+00 1.215682102778710938e+12 2.285795369698876645e+00
3.000000000000000444e-01 1.967419093092543259e+00 5.915312767743424072e+11 2.156662840851724994e+00
4.000000000000000222e-01 2.090565037704471330e+00 2.429077486081719055e+11 2.003640089726502094e+00
5.000000000000000000e-01 2.168282875724030223e+00 1.381982317122797852e+11 1.898566480988327587e+00
6.000000000000000888e-01 2.299789322105279421e+00 5.294722112712614441e+10 1.737032720393796525e+00
7.000000000000000666e-01 2.411526543089968833e+00 2.328552734890197754e+10 1.596248861341933889e+00
8.000000000000000444e-01 2.541898439788155883e+00 8.852957680848340988e+09 1.435153612283047053e+00
9.000000000000000222e-01 2.640116854974168703e+00 4.242989562682345867e+09 1.308331298856498792e+00
1.000000000000000000e+00 2.752507604602716818e+00 1.814159717880005121e+09 1.165700106581767370e+00
1.100000000000000089e+00 2.880399258746631386e+00 6.822301570081601143e+08 1.005173381868571525e+00
1.200000000000000178e+00 3.025171284518257675e+00 2.220083745629945099e+08 8.243632624467243097e-01
1.300000000000000044e+00 3.119518462364629041e+00 1.058200177446969151e+08 6.994304488456279945e-01
1.400000000000000133e+00 3.225189052076027796e+00 4.572307849049317092e+07 5.608802762146366527e-01
1.500000000000000000e+00 3.418615952932009261e+00 9.589285653499700129e+06 3.182539996069127519e-01
1.600000000000000089e+00 3.473204682856405157e+00 6.132055511793318205e+06 2.375513616701183939e-01
1.700000000000000178e+00 3.617007669909650058e+00 1.862592291574671399e+06 4.958577041577609534e-02
1.800000000000000044e+00 3.775076526935918775e+00 4.911089108866449678e+05 -1.583834638124080596e-01
1.900000000000000133e+00 3.857430338241385481e+00 2.428038508869126090e+05 -2.748912588275023716e-01
2.000000000000000000e+00 4.041689908142744869e+00 4.895749317225825507e+04 -5.208049130736942534e-01
2.100000000000000089e+00 4.143822767059022638e+00 1.985104860155119241e+04 -6.651747800666554244e-01
2.200000000000000178e+00 4.254969754923807024e+00 7.340128551014330696e+03 -8.225030889647856336e-01
2.300000000000000266e+00 4.375416254883944589e+00 2.460176120643016020e+03 -9.936804330389598094e-01
2.400000000000000355e+00 4.505493208167232311e+00 7.423710469089763819e+02 -1.179708349533829637e+00
